player,total_games,shots_made,total_shots,shooting%,2pt_made,2pt_attempts,2pt%,3pt_made,3pt_attempts,3pt%,FT_made,FT_Attempts,FT%,total_assists,total_blocks,off_rebound,is_clutch,years_played,clutch_years
JJ Hickson,57,25,48,52.08,25,45,55.56,0,3,0.0,20,31,64.52,17,4,20,0.0,7,1.0
JJ Redick,139,60,147,40.82,30,53,56.6,30,94,31.91,157,169,92.9,43,6,3,1.0,12,3.0
JR Smith,17,6,21,28.57,0,4,0.0,6,17,35.29,3,6,50.0,6,0,1,0.0,2,0.0
JaKarr Sampson,6,3,4,75.0,3,4,75.0,0,0,0.0,6,8,75.0,1,0,1,0.0,2,0.0
JaMychal Green,22,8,16,50.0,6,11,54.55,2,5,40.0,10,17,58.82,4,0,9,0.0,3,0.0
JaVale McGee,39,19,32,59.38,19,31,61.29,0,1,0.0,4,14,28.57,11,1,12,0.0,7,1.0
Jabari Brown,2,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,1,0,0,0.0,1,0.0
Jabari Parker,36,20,49,40.82,18,39,46.15,2,10,20.0,10,16,62.5,12,3,6,0.0,4,1.0
Jabari Smith,3,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,1,0,0,0.0,1,0.0
Jackie Butler,5,2,2,100.0,2,2,100.0,0,0,0.0,7,10,70.0,1,0,2,0.0,1,0.0
Jackson Vroman,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,,1,0.0
Jacque Vaughn,14,7,13,53.85,7,11,63.64,0,2,0.0,11,16,68.75,5,1,2,0.0,4,0.0
Jae Crowder,76,27,64,42.19,16,28,57.14,11,36,30.56,33,35,94.29,23,2,9,1.0,6,2.0
Jahlil Okafor,9,4,10,40.0,4,10,40.0,0,0,0.0,1,4,25.0,0,3,1,0.0,2,0.0
Jake Layman,2,3,4,75.0,3,3,100.0,0,1,0.0,0,0,0.0,2,0,0,0.0,2,0.0
Jake Tsakalidis,2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Jake Voskuhl,8,2,6,33.33,2,6,33.33,0,0,0.0,7,13,53.85,0,1,4,0.0,4,0.0
Jakob Poeltl,4,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,2,,2,0.0
Jalen Jones,2,0,3,0.0,0,0,0.0,0,3,0.0,0,0,0.0,0,1,0,0.0,1,0.0
Jalen Rose,39,22,65,33.85,21,45,46.67,1,20,5.0,42,48,87.5,10,5,2,0.0,2,0.0
Jamaal Magloire,40,11,25,44.0,11,25,44.0,0,0,0.0,14,28,50.0,8,8,14,0.0,6,0.0
Jamaal Tinsley,57,43,105,40.95,35,83,42.17,8,22,36.36,31,47,65.96,8,6,11,1.0,7,0.0
Jamal Crawford,262,164,456,35.96,117,268,43.66,47,188,25.0,224,277,80.87,53,14,22,0.0,14,4.0
Jamal Murray,22,8,29,27.59,5,13,38.46,3,16,18.75,26,27,96.3,3,3,2,0.0,2,0.0
Jamal Sampson,2,0,1,0.0,0,1,0.0,0,0,0.0,2,2,100.0,0,0,1,0.0,1,0.0
Jamario Moon,32,5,22,22.73,4,10,40.0,1,12,8.33,11,14,78.57,4,1,4,0.0,4,0.0
Jameer Nelson,181,114,321,35.51,85,220,38.64,29,101,28.71,92,119,77.31,27,22,23,0.0,14,3.0
James Anderson,17,9,18,50.0,2,5,40.0,7,13,53.85,10,13,76.92,9,1,4,0.0,4,1.0
James Ennis,4,0,2,0.0,0,1,0.0,0,1,0.0,1,1,100.0,0,1,0,0.0,2,0.0
James Ennis III,12,1,5,20.0,1,1,100.0,0,4,0.0,5,7,71.43,1,0,1,0.0,2,0.0
James Harden,185,115,313,36.74,79,180,43.89,36,133,27.07,228,294,77.55,21,32,24,0.0,9,2.0
James Johnson,74,24,68,35.29,15,40,37.5,9,28,32.14,21,30,70.0,17,4,14,0.0,9,0.0
James Jones,47,15,47,31.91,6,20,30.0,9,27,33.33,39,45,86.67,13,1,7,0.0,10,0.0
James Posey,99,28,71,39.44,9,20,45.0,19,51,37.25,55,68,80.88,16,0,11,0.0,7,0.0
James Singleton,12,7,8,87.5,5,5,100.0,2,3,66.67,1,2,50.0,5,0,3,0.0,4,0.0
James Thomas,1,1,2,50.0,1,2,50.0,0,0,0.0,0,0,0.0,1,0,1,0.0,1,0.0
Jamil Wilson,2,1,3,33.33,0,0,0.0,1,3,33.33,0,0,0.0,1,0,0,0.0,1,0.0
Jamison Brewer,2,0,1,0.0,0,1,0.0,0,0,0.0,2,2,100.0,0,0,0,0.0,1,0.0
Jan Vesely,2,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,,1,0.0
Jannero Pargo,40,19,50,38.0,13,31,41.94,6,19,31.58,16,24,66.67,6,5,1,0.0,7,0.0
Jared Cunningham,1,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0.0,0,0,0,,1,0.0
Jared Dudley,86,23,85,27.06,8,25,32.0,15,60,25.0,36,41,87.8,20,2,14,0.0,10,0.0
Jared Jeffries,42,11,28,39.29,10,22,45.45,1,6,16.67,12,20,60.0,7,2,18,0.0,9,0.0
Jared Reiner,2,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,1,0,1,0.0,2,0.0
Jared Sullinger,55,24,74,32.43,14,39,35.9,10,35,28.57,20,30,66.67,15,5,23,0.0,4,0.0
Jarell Martin,14,3,9,33.33,3,5,60.0,0,4,0.0,6,9,66.67,2,1,3,0.0,3,0.0
